z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,decayModes,abundance,abundanceUncertainty,betaMinus(keV),betaMinusUncertainty,electronCapture(keV),electronCaptureUncertainty,positronEmission(keV),positronEmissionUncertainty,alpha(keV),alphaUncertainty
95,151,246Am,0,25,m,2,IT = <  0.02,,,2377,18,-401,14,-1423,14,5.15E+03,20
95,150,245Am,0,2.05,h,1,B- = 100.00,,,895.9,15,-1278,14,-2300,14,5.16E+03,10
95,128,223Am,,,,,,,,,,6.60E+03,4,5.60E+03,4,1.08E+04,3
95,129,224Am,,,,,,,,,,8.00E+03,5,7.00E+03,5,1.04E+04,4
95,131,226Am,,,,,,,,,,7.30E+03,4,6.30E+03,4,9.30E+03,3
95,130,225Am,,,,,,,,,,6.10E+03,5,5.10E+03,5,1.01E+04,4
95,154,249Am,,,,,B- = ?,,,2.40E+03,3,,,,,4.80E+03,4
96,141,237Cm,0,,,,EC = 100.00,,,-3.96E+03,24,2.68E+03,10,1.66E+03,10,6.77E+03,5
96,141,237Cm,0,,,,A LT 1.00,,,-3.96E+03,24,2.68E+03,10,1.66E+03,10,6.77E+03,5
96,140,236Cm,0,,,,EC  ,,,-5.70E+03,4,1.81E+03,12,7.90E+02,12,7067,5
96,140,236Cm,0,,,,A  ,,,-5.70E+03,4,1.81E+03,12,7.90E+02,12,7067,5
96,136,232Cm,,,,,,,,,,2.90E+03,4,1.90E+03,4,7.80E+03,20
96,135,231Cm,,,,,,,,,,4.90E+03,4,3.80E+03,4,8.10E+03,3
96,138,234Cm,0,51,s,12,A AP 40.00,,,-6.67E+03,15,2.26E+03,16,1.24E+03,16,7365,9
96,138,234Cm,0,51,s,12,SF = @40.00,,,-6.67E+03,15,2.26E+03,16,1.24E+03,16,7365,9
96,138,234Cm,0,51,s,12,EC = @20.00,,,-6.67E+03,15,2.26E+03,16,1.24E+03,16,7365,9
